QTD_CHOC;VAR_1;VAR_2;PESO_BOMBOM
320,15;0,88;A;10,14
320,14;1,55;A;11,55
284,85;2,97;A;11,11
333,76;2,00;A;11,75
316,43;2,96;A;12,05
339,08;1,39;A;10,91
344,98;0,52;A;10,15
354,18;2,17;A;12,05
352,62;2,72;A;13,22
324,50;2,95;A;12,19
292,14;1,04;A;10,56
306,39;2,98;A;11,65
291,53;1,15;A;9,46
344,50;2,53;A;12,39
359,48;2,13;A;12,92
357,75;2,37;A;12,65
291,49;2,12;A;10,97
314,29;2,90;A;11,83
350,19;2,92;A;13,07
334,89;0,83;A;10,27
321,55;2,63;A;12,17
320,20;2,84;A;12,02
304,26;1,72;A;11,20
324,20;0,89;A;11,56
333,61;1,47;A;11,35
321,25;2,22;A;11,78
355,54;2,22;A;13,07
308,78;1,92;A;10,85
302,35;2,07;A;11,23
356,88;1,82;A;12,81
320,74;2,62;A;12,47
341,66;2,67;A;12,30
297,90;2,40;A;11,70
287,10;2,94;A;11,44
333,44;2,96;A;14,29
309,90;1,94;A;11,06
325,25;1,68;A;11,17
304,78;1,23;A;10,41
288,08;2,79;A;11,08
346,37;2,01;A;12,29
345,28;2,75;A;12,46
284,12;2,25;A;13,67
334,51;1,18;A;11,38
345,44;1,21;A;11,99
315,08;1,18;A;10,54
348,48;2,89;A;13,46
358,58;2,50;A;12,89
348,68;2,30;A;13,16
331,99;2,57;A;11,99
294,47;1,67;A;10,58
329,57;2,84;A;12,11
346,12;2,94;A;13,65
326,75;1,06;A;12,64
308,11;1,35;A;10,55
345,66;0,93;A;10,90
303,18;2,21;A;11,39
325,86;0,76;A;10,59
341,48;2,77;A;12,52
348,92;1,97;A;11,83
359,60;1,41;A;12,09
308,38;0,21;A;9,03
322,12;2,08;A;11,47
288,42;1,72;A;11,22
353,80;1,27;A;11,51
320,73;2,51;A;11,78
336,97;1,19;A;11,01
318,97;2,74;A;11,77
289,78;2,12;A;10,98
303,85;2,22;A;11,42
356,05;1,03;A;10,94
298,61;2,95;A;11,76
293,75;1,05;A;9,78
331,73;2,27;A;12,37
325,10;2,16;A;11,54
347,93;2,94;A;13,73
306,60;1,45;A;10,24
332,86;1,70;A;11,09
315,51;2,66;A;11,70
336,67;2,31;A;12,28
300,59;2,65;A;11,28
307,71;1,71;A;11,37
331,94;1,62;A;11,28
337,08;2,51;A;12,36
333,75;2,16;A;11,75
314,49;2,86;A;12,45
301,76;2,23;A;10,86
342,03;2,34;A;12,35
307,13;1,56;A;10,41
336,30;2,61;A;13,52
351,16;2,67;A;12,57
355,38;2,74;A;12,71
322,84;1,57;A;11,34
317,21;2,76;A;11,91
341,43;2,93;A;12,89
309,28;2,54;A;12,06
338,77;2,37;A;12,14
287,78;1,59;A;9,91
299,13;1,22;A;9,88
359,71;2,89;A;13,35
343,68;2,52;A;12,56
330,65;2,52;A;12,08
311,85;2,86;A;12,61
316,60;2,45;A;11,51
340,32;2,60;A;12,33
283,05;2,28;A;10,70
345,93;2,72;A;12,68
297,15;2,00;A;11,86
287,30;2,92;A;11,12
339,16;2,04;A;11,52
307,09;2,76;A;11,73
337,16;0,31;A;10,08
327,38;2,75;A;12,14
301,19;2,87;A;11,70
341,41;1,63;A;12,25
291,54;2,31;A;10,80
321,70;0,32;A;10,65
294,81;1,60;A;10,12
329,11;2,48;A;11,71
303,38;0,67;A;9,55
322,78;1,76;A;11,68
319,73;2,65;A;11,72
315,10;1,95;A;11,78
296,53;1,53;A;10,89
287,66;2,44;A;11,15
358,31;0,23;A;10,40
328,53;1,53;A;10,84
349,44;2,63;A;12,95
304,43;2,97;A;11,68
331,57;2,91;A;13,68
295,16;2,04;A;10,43
315,13;1,24;A;10,31
344,12;2,08;A;12,47
335,90;2,84;A;12,29
339,56;2,34;A;11,98
352,52;2,50;A;12,37
357,21;2,25;A;12,34
332,51;2,40;A;13,43
303,32;1,47;A;10,54
345,55;2,76;A;12,47
326,28;0,41;A;10,98
281,32;2,73;A;11,17
321,92;2,25;A;11,77
356,82;0,57;A;10,82
290,22;1,90;A;10,61
341,55;1,76;A;12,86
339,78;1,38;A;10,89
304,32;2,46;A;11,37
351,33;1,90;A;12,42
321,46;2,13;A;11,89
324,73;2,84;A;12,38
290,76;1,58;A;10,02
291,58;2,41;A;10,82
295,74;1,92;A;10,64
341,39;2,48;A;12,40
300,53;2,59;A;11,18
301,01;1,59;A;10,47
331,41;2,60;A;12,05
309,30;2,91;A;12,69
283,19;1,85;B;8,72
319,19;2,34;B;9,96
350,79;2,47;B;10,53
302,87;2,62;B;10,77
328,53;2,29;B;9,96
269,19;2,93;B;11,00
326,90;2,98;B;11,37
232,20;2,64;B;9,53
214,42;2,32;B;8,64
436,07;1,69;B;10,65
279,79;1,91;B;8,81
151,29;2,59;B;8,22
296,05;2,04;B;9,10
196,33;2,79;B;9,29
287,67;2,30;B;9,04
316,44;0,79;B;8,92
320,57;0,46;B;8,73
316,46;1,96;B;9,52
343,32;1,94;B;10,00
293,17;2,92;B;10,93
288,35;1,34;B;8,72
240,78;2,07;B;8,22
290,11;2,16;B;9,29
317,82;2,16;B;10,01
351,56;2,64;B;10,87
376,13;2,96;B;12,26
356,42;1,66;B;9,53
274,44;0,05;B;8,09
302,73;2,07;B;9,26
298,32;1,97;B;9,10
286,10;1,93;B;9,17
338,28;1,41;B;9,36
244,50;2,49;B;9,10
195,79;2,86;B;9,42
300,95;2,63;B;10,43
324,54;2,64;B;10,51
330,32;0,85;B;8,80
308,01;1,50;B;8,49
317,69;2,75;B;11,01
286,62;2,88;B;10,92
228,71;2,59;B;9,14
293,79;2,44;B;9,60
310,55;0,81;B;8,37
271,69;1,66;B;8,41
364,00;1,75;B;9,62
277,42;2,01;B;8,87
331,72;2,74;B;11,10
297,56;0,73;B;8,32
257,04;1,62;B;8,34
368,19;2,96;B;11,80
346,40;2,22;B;10,33
373,40;2,47;B;11,38
337,88;2,83;B;11,41
416,63;2,43;B;11,23
419,63;2,24;B;11,33
311,30;2,82;B;11,06
317,98;0,31;B;8,53
306,65;2,66;B;10,39
295,86;0,62;B;8,08
310,71;1,80;B;9,27
305,83;2,49;B;9,97
280,22;2,91;B;10,81
248,29;2,80;B;9,93
112,91;2,05;B;6,96
338,40;1,34;B;9,19
317,70;2,91;B;11,18
246,83;2,83;B;10,28
249,45;0,24;B;7,01
170,71;1,22;B;7,06
299,27;2,20;B;9,48
334,73;2,74;B;11,04
290,26;2,83;B;10,76
352,12;2,37;B;10,63
237,66;1,05;B;7,57
300,64;2,78;B;10,64
339,56;2,83;B;11,23
358,85;1,08;B;9,16
243,66;0,90;B;7,87
355,74;2,57;B;10,94
291,17;0,96;B;8,37
254,03;1,26;B;7,79
314,38;0,86;B;8,33
301,18;0,78;B;8,56
332,72;0,84;B;8,75
211,74;2,92;B;9,93
372,38;1,71;B;9,98
277,75;2,49;B;9,41
232,99;1,87;B;8,02
343,80;2,32;B;10,16
285,41;2,49;B;9,69
245,41;0,96;B;7,52
207,40;0,98;B;7,34
294,55;1,52;B;8,89
350,49;2,33;B;10,66
296,21;2,67;B;10,43
321,88;2,98;B;11,44
233,86;1,78;B;8,25
331,07;2,91;B;11,11
257,22;2,80;B;10,21
246,39;2,57;B;9,74
296,16;0,98;B;8,36
265,33;2,63;B;9,71
310,68;1,47;B;8,79
236,75;1,40;B;7,45
348,18;1,84;B;9,49
325,92;2,11;B;9,50
356,56;2,81;B;11,51
297,09;2,71;B;10,32
301,49;2,82;B;10,76
311,31;1,16;B;8,80
299,87;1,34;B;9,12
260,69;1,73;B;8,00
271,88;1,69;B;8,33
277,48;2,00;B;8,91
316,35;1,88;B;9,61
328,37;1,18;B;9,03
345,08;2,90;B;11,24
311,31;2,72;B;10,88
271,53;2,28;B;9,48
263,39;2,72;B;9,78
258,83;2,93;B;11,09
199,55;1,76;B;7,71
274,58;2,39;B;9,23
263,63;1,34;B;8,16
344,22;2,87;B;11,24
379,37;0,27;B;9,38
334,38;2,86;B;10,90
270,52;2,48;B;9,73
247,08;2,88;B;10,63
305,33;2,98;B;11,54
327,11;1,23;B;8,82
281,07;2,45;B;9,15
300,82;2,70;B;10,44
252,24;2,86;B;10,39
227,37;2,11;B;8,62
414,61;0,77;B;9,99
250,93;0,79;B;8,00
273,32;1,02;B;8,05
337,47;2,65;B;10,73
324,77;0,93;B;8,80
293,56;1,21;B;8,29
264,25;2,11;B;8,81
249,03;1,38;B;7,88
271,65;2,07;B;9,32
293,11;2,89;B;10,70
296,43;2,58;B;9,96
275,28;1,97;B;8,72
362,43;2,07;B;10,09
277,36;2,70;B;10,63
345,84;2,74;B;10,94
355,99;2,93;B;11,57
227,19;2,84;B;9,67
316,06;2,59;B;10,52
178,15;2,78;B;9,45
319,34;0,80;B;8,42
333,62;2,35;B;9,82
245,45;2,10;B;8,18
330,98;2,72;B;11,14
318,29;1,99;B;9,40
311,54;2,71;B;10,72
338,64;2,47;B;10,38
270,65;2,63;B;9,87
286,34;2,28;B;9,49
227,09;2,63;B;9,31
315,56;1,89;B;9,20
263,92;2,36;C;9,90
276,22;2,98;C;10,08
274,96;2,33;C;9,61
227,67;2,45;C;9,04
277,31;2,80;C;10,55
262,60;2,85;C;9,83
300,04;2,02;C;10,32
197,22;2,86;C;9,23
278,56;2,80;C;10,34
225,18;2,42;C;10,20
264,76;0,08;C;10,66
323,97;2,85;C;10,48
200,81;2,64;C;9,90
270,48;2,51;C;9,22
297,61;1,09;C;11,71
249,67;2,50;C;11,21
277,91;2,35;C;9,52
269,93;2,38;C;9,59
249,01;2,60;C;10,24
279,79;2,25;C;11,48
256,11;1,55;C;9,41
277,22;2,23;C;12,32
247,85;2,53;C;10,06
276,09;2,83;C;9,73
298,37;1,71;C;10,60
224,28;2,30;C;9,23
227,51;0,96;C;8,50
217,94;2,49;C;9,66
266,14;1,46;C;16,09
214,51;2,02;C;9,22
246,13;2,30;C;11,65
232,43;2,43;C;8,71
256,37;2,96;C;9,99
230,23;2,36;C;9,67
233,60;2,01;C;10,96
249,93;0,60;C;10,05
272,90;2,56;C;9,76
312,23;1,04;C;11,45
